Total Nacional;Provincias;Sexo;Periodo;Total
Total Nacional;;Total;1974;300.403
Total Nacional;;Total;1973;301.803
Total Nacional;;Total;1972;285.508
Total Nacional;;Total;1971;308.516
Total Nacional;;Total;1970;286.067
Total Nacional;;Total;1969;303.402
Total Nacional;;Total;1968;282.628
Total Nacional;;Total;1967;280.494
Total Nacional;;Total;1966;276.173
Total Nacional;;Total;1965;274.271
Total Nacional;;Total;1964;273.955
Total Nacional;;Total;1963;282.460
Total Nacional;;Total;1962;278.575
Total Nacional;;Total;1961;263.441
Total Nacional;;Total;1960;268.941
Total Nacional;;Total;1959;269.591
Total Nacional;;Total;1958;260.683
Total Nacional;;Total;1957;293.502
Total Nacional;;Total;1956;290.410
Total Nacional;;Total;1955;274.188
Total Nacional;;Total;1954;264.668
Total Nacional;;Total;1953;278.522
Total Nacional;;Total;1952;276.735
Total Nacional;;Total;1951;327.236
Total Nacional;;Total;1950;305.934
Total Nacional;;Total;1949;321.541
Total Nacional;;Total;1948;305.310
Total Nacional;;Total;1947;330.341
Total Nacional;;Total;1946;353.371
Total Nacional;;Total;1945;330.581
Total Nacional;;Total;1944;349.114
Total Nacional;;Total;1943;352.587
Total Nacional;;Total;1942;387.844
Total Nacional;;Total;1941;487.748
Total Nacional;;Total;1940;428.416
Total Nacional;;Total;1939;472.611
Total Nacional;;Total;1938;487.546
Total Nacional;;Total;1937;475.310
Total Nacional;;Total;1936;417.108
Total Nacional;;Total;1935;388.757
Total Nacional;;Total;1934;392.793
Total Nacional;;Total;1933;399.128
Total Nacional;;Total;1932;393.340
Total Nacional;;Total;1931;408.977
Total Nacional;;Total;1930;394.488
Total Nacional;;Hombres;1974;155.612
Total Nacional;;Hombres;1973;155.897
Total Nacional;;Hombres;1972;147.486
Total Nacional;;Hombres;1971;160.529
Total Nacional;;Hombres;1970;147.479
Total Nacional;;Hombres;1969;157.001
Total Nacional;;Hombres;1968;146.198
Total Nacional;;Hombres;1967;145.292
Total Nacional;;Hombres;1966;142.542
Total Nacional;;Hombres;1965;141.437
Total Nacional;;Hombres;1964;141.692
Total Nacional;;Hombres;1963;144.729
Total Nacional;;Hombres;1962;142.217
Total Nacional;;Hombres;1961;134.102
Total Nacional;;Hombres;1960;137.105
Total Nacional;;Hombres;1959;""
Total Nacional;;Hombres;1958;""
Total Nacional;;Hombres;1957;""
Total Nacional;;Hombres;1956;""
Total Nacional;;Hombres;1955;""
Total Nacional;;Hombres;1954;""
Total Nacional;;Hombres;1953;""
Total Nacional;;Hombres;1952;""
Total Nacional;;Hombres;1951;""
Total Nacional;;Hombres;1950;""
Total Nacional;;Hombres;1949;""
Total Nacional;;Hombres;1948;""
Total Nacional;;Hombres;1947;""
Total Nacional;;Hombres;1946;""
Total Nacional;;Hombres;1945;""
Total Nacional;;Hombres;1944;""
Total Nacional;;Hombres;1943;""
Total Nacional;;Hombres;1942;""
Total Nacional;;Hombres;1941;""
Total Nacional;;Hombres;1940;""
Total Nacional;;Hombres;1939;""
Total Nacional;;Hombres;1938;""
Total Nacional;;Hombres;1937;""
Total Nacional;;Hombres;1936;""
Total Nacional;;Hombres;1935;""
Total Nacional;;Hombres;1934;""
Total Nacional;;Hombres;1933;""
Total Nacional;;Hombres;1932;""
Total Nacional;;Hombres;1931;""
Total Nacional;;Hombres;1930;""
Total Nacional;;Mujeres;1974;144.791
Total Nacional;;Mujeres;1973;145.906
Total Nacional;;Mujeres;1972;138.022
Total Nacional;;Mujeres;1971;147.987
Total Nacional;;Mujeres;1970;138.588
Total Nacional;;Mujeres;1969;146.401
Total Nacional;;Mujeres;1968;136.430
Total Nacional;;Mujeres;1967;135.202
Total Nacional;;Mujeres;1966;133.631
Total Nacional;;Mujeres;1965;132.834
Total Nacional;;Mujeres;1964;132.263
Total Nacional;;Mujeres;1963;137.731
Total Nacional;;Mujeres;1962;136.358
Total Nacional;;Mujeres;1961;129.339
Total Nacional;;Mujeres;1960;131.836
Total Nacional;;Mujeres;1959;""
Total Nacional;;Mujeres;1958;""
Total Nacional;;Mujeres;1957;""
Total Nacional;;Mujeres;1956;""
Total Nacional;;Mujeres;1955;""
Total Nacional;;Mujeres;1954;""
Total Nacional;;Mujeres;1953;""
Total Nacional;;Mujeres;1952;""
Total Nacional;;Mujeres;1951;""
Total Nacional;;Mujeres;1950;""
Total Nacional;;Mujeres;1949;""
Total Nacional;;Mujeres;1948;""
Total Nacional;;Mujeres;1947;""
Total Nacional;;Mujeres;1946;""
Total Nacional;;Mujeres;1945;""
Total Nacional;;Mujeres;1944;""
Total Nacional;;Mujeres;1943;""
Total Nacional;;Mujeres;1942;""
Total Nacional;;Mujeres;1941;""
Total Nacional;;Mujeres;1940;""
Total Nacional;;Mujeres;1939;""
Total Nacional;;Mujeres;1938;""
Total Nacional;;Mujeres;1937;""
Total Nacional;;Mujeres;1936;""
Total Nacional;;Mujeres;1935;""
Total Nacional;;Mujeres;1934;""
Total Nacional;;Mujeres;1933;""
Total Nacional;;Mujeres;1932;""
Total Nacional;;Mujeres;1931;""
Total Nacional;;Mujeres;1930;""
Total Nacional;02 Albacete;Total;1974;3.197
Total Nacional;02 Albacete;Total;1973;3.172
Total Nacional;02 Albacete;Total;1972;3.097
Total Nacional;02 Albacete;Total;1971;3.399
Total Nacional;02 Albacete;Total;1970;3.251
Total Nacional;02 Albacete;Total;1969;3.366
Total Nacional;02 Albacete;Total;1968;3.212
Total Nacional;02 Albacete;Total;1967;3.063
Total Nacional;02 Albacete;Total;1966;3.064
Total Nacional;02 Albacete;Total;1965;3.164
Total Nacional;02 Albacete;Total;1964;2.968
Total Nacional;02 Albacete;Total;1963;3.401
Total Nacional;02 Albacete;Total;1962;3.479
Total Nacional;02 Albacete;Total;1961;3.208
Total Nacional;02 Albacete;Total;1960;3.338
Total Nacional;02 Albacete;Total;1959;3.486
Total Nacional;02 Albacete;Total;1958;3.307
Total Nacional;02 Albacete;Total;1957;3.661
Total Nacional;02 Albacete;Total;1956;3.838
Total Nacional;02 Albacete;Total;1955;3.668
Total Nacional;02 Albacete;Total;1954;3.570
Total Nacional;02 Albacete;Total;1953;4.009
Total Nacional;02 Albacete;Total;1952;3.802
Total Nacional;02 Albacete;Total;1951;4.653
Total Nacional;02 Albacete;Total;1950;4.264
Total Nacional;02 Albacete;Total;1949;4.354
Total Nacional;02 Albacete;Total;1948;4.238
Total Nacional;02 Albacete;Total;1947;4.704
Total Nacional;02 Albacete;Total;1946;5.068
Total Nacional;02 Albacete;Total;1945;4.679
Total Nacional;02 Albacete;Total;1944;5.046
Total Nacional;02 Albacete;Total;1943;5.005
Total Nacional;02 Albacete;Total;1942;5.226
Total Nacional;02 Albacete;Total;1941;6.806
Total Nacional;02 Albacete;Total;1940;6.516
Total Nacional;02 Albacete;Total;1939;7.756
Total Nacional;02 Albacete;Total;1938;7.941
Total Nacional;02 Albacete;Total;1937;7.737
Total Nacional;02 Albacete;Total;1936;6.523
Total Nacional;02 Albacete;Total;1935;6.532
Total Nacional;02 Albacete;Total;1934;6.472
Total Nacional;02 Albacete;Total;1933;5.793
Total Nacional;02 Albacete;Total;1932;5.883
Total Nacional;02 Albacete;Total;1931;6.407
Total Nacional;02 Albacete;Total;1930;6.146
Total Nacional;02 Albacete;Hombres;1974;1.674
Total Nacional;02 Albacete;Hombres;1973;1.623
Total Nacional;02 Albacete;Hombres;1972;1.571
Total Nacional;02 Albacete;Hombres;1971;1.842
Total Nacional;02 Albacete;Hombres;1970;1.728
Total Nacional;02 Albacete;Hombres;1969;1.809
Total Nacional;02 Albacete;Hombres;1968;1.658
Total Nacional;02 Albacete;Hombres;1967;1.568
Total Nacional;02 Albacete;Hombres;1966;1.646
Total Nacional;02 Albacete;Hombres;1965;1.704
Total Nacional;02 Albacete;Hombres;1964;1.512
Total Nacional;02 Albacete;Hombres;1963;1.783
Total Nacional;02 Albacete;Hombres;1962;1.803
Total Nacional;02 Albacete;Hombres;1961;1.703
Total Nacional;02 Albacete;Hombres;1960;1.793
Total Nacional;02 Albacete;Hombres;1959;""
Total Nacional;02 Albacete;Hombres;1958;""
Total Nacional;02 Albacete;Hombres;1957;""
Total Nacional;02 Albacete;Hombres;1956;""
Total Nacional;02 Albacete;Hombres;1955;""
Total Nacional;02 Albacete;Hombres;1954;""
Total Nacional;02 Albacete;Hombres;1953;""
Total Nacional;02 Albacete;Hombres;1952;""
Total Nacional;02 Albacete;Hombres;1951;""
Total Nacional;02 Albacete;Hombres;1950;""
Total Nacional;02 Albacete;Hombres;1949;""
Total Nacional;02 Albacete;Hombres;1948;""
Total Nacional;02 Albacete;Hombres;1947;""
Total Nacional;02 Albacete;Hombres;1946;""
Total Nacional;02 Albacete;Hombres;1945;""
Total Nacional;02 Albacete;Hombres;1944;""
Total Nacional;02 Albacete;Hombres;1943;""
Total Nacional;02 Albacete;Hombres;1942;""
Total Nacional;02 Albacete;Hombres;1941;""
Total Nacional;02 Albacete;Hombres;1940;""
Total Nacional;02 Albacete;Hombres;1939;""
Total Nacional;02 Albacete;Hombres;1938;""
Total Nacional;02 Albacete;Hombres;1937;""
Total Nacional;02 Albacete;Hombres;1936;""
Total Nacional;02 Albacete;Hombres;1935;""
Total Nacional;02 Albacete;Hombres;1934;""
Total Nacional;02 Albacete;Hombres;1933;""
Total Nacional;02 Albacete;Hombres;1932;""
Total Nacional;02 Albacete;Hombres;1931;""
Total Nacional;02 Albacete;Hombres;1930;""
Total Nacional;02 Albacete;Mujeres;1974;1.523
Total Nacional;02 Albacete;Mujeres;1973;1.549
Total Nacional;02 Albacete;Mujeres;1972;1.526
Total Nacional;02 Albacete;Mujeres;1971;1.557
Total Nacional;02 Albacete;Mujeres;1970;1.523
Total Nacional;02 Albacete;Mujeres;1969;1.557
Total Nacional;02 Albacete;Mujeres;1968;1.554
Total Nacional;02 Albacete;Mujeres;1967;1.495
Total Nacional;02 Albacete;Mujeres;1966;1.418
Total Nacional;02 Albacete;Mujeres;1965;1.460
Total Nacional;02 Albacete;Mujeres;1964;1.456
Total Nacional;02 Albacete;Mujeres;1963;1.618
Total Nacional;02 Albacete;Mujeres;1962;1.676
Total Nacional;02 Albacete;Mujeres;1961;1.505
Total Nacional;02 Albacete;Mujeres;1960;1.545
Total Nacional;02 Albacete;Mujeres;1959;""
Total Nacional;02 Albacete;Mujeres;1958;""
Total Nacional;02 Albacete;Mujeres;1957;""
Total Nacional;02 Albacete;Mujeres;1956;""
Total Nacional;02 Albacete;Mujeres;1955;""
Total Nacional;02 Albacete;Mujeres;1954;""
Total Nacional;02 Albacete;Mujeres;1953;""
Total Nacional;02 Albacete;Mujeres;1952;""
Total Nacional;02 Albacete;Mujeres;1951;""
Total Nacional;02 Albacete;Mujeres;1950;""
Total Nacional;02 Albacete;Mujeres;1949;""
Total Nacional;02 Albacete;Mujeres;1948;""
Total Nacional;02 Albacete;Mujeres;1947;""
Total Nacional;02 Albacete;Mujeres;1946;""
Total Nacional;02 Albacete;Mujeres;1945;""
Total Nacional;02 Albacete;Mujeres;1944;""
Total Nacional;02 Albacete;Mujeres;1943;""
Total Nacional;02 Albacete;Mujeres;1942;""
Total Nacional;02 Albacete;Mujeres;1941;""
Total Nacional;02 Albacete;Mujeres;1940;""
Total Nacional;02 Albacete;Mujeres;1939;""
Total Nacional;02 Albacete;Mujeres;1938;""
Total Nacional;02 Albacete;Mujeres;1937;""
Total Nacional;02 Albacete;Mujeres;1936;""
Total Nacional;02 Albacete;Mujeres;1935;""
Total Nacional;02 Albacete;Mujeres;1934;""
Total Nacional;02 Albacete;Mujeres;1933;""
Total Nacional;02 Albacete;Mujeres;1932;""
Total Nacional;02 Albacete;Mujeres;1931;""
Total Nacional;02 Albacete;Mujeres;1930;""
Total Nacional;03 Alicante/Alacant;Total;1974;9.094
Total Nacional;03 Alicante/Alacant;Total;1973;8.656
Total Nacional;03 Alicante/Alacant;Total;1972;8.183
Total Nacional;03 Alicante/Alacant;Total;1971;9.154
Total Nacional;03 Alicante/Alacant;Total;1970;8.064
Total Nacional;03 Alicante/Alacant;Total;1969;8.761
Total Nacional;03 Alicante/Alacant;Total;1968;7.978
Total Nacional;03 Alicante/Alacant;Total;1967;7.780
Total Nacional;03 Alicante/Alacant;Total;1966;7.461
