Total Nacional;Provincias;Sexo;Periodo;Total
Total Nacional;;Total;2022;329.251
Total Nacional;;Total;2021;337.380
Total Nacional;;Total;2020;341.315
Total Nacional;;Total;2019;360.617
Total Nacional;;Total;2018;372.777
Total Nacional;;Total;2017;393.181
Total Nacional;;Total;2016;410.583
Total Nacional;;Total;2015;420.290
Total Nacional;;Total;2014;427.595
Total Nacional;;Total;2013;425.715
Total Nacional;;Total;2012;454.648
Total Nacional;;Total;2011;471.999
Total Nacional;;Total;2010;486.575
Total Nacional;;Total;2009;494.997
Total Nacional;;Total;2008;519.779
Total Nacional;;Total;2007;492.527
Total Nacional;;Total;2006;482.957
Total Nacional;;Total;2005;466.371
Total Nacional;;Total;2004;454.591
Total Nacional;;Total;2003;441.881
Total Nacional;;Total;2002;418.846
Total Nacional;;Total;2001;406.380
Total Nacional;;Total;2000;397.632
Total Nacional;;Total;1999;380.130
Total Nacional;;Total;1998;365.193
Total Nacional;;Total;1997;369.035
Total Nacional;;Total;1996;362.626
Total Nacional;;Total;1995;363.469
Total Nacional;;Total;1994;370.148
Total Nacional;;Total;1993;385.786
Total Nacional;;Total;1992;396.747
Total Nacional;;Total;1991;395.989
Total Nacional;;Total;1990;401.425
Total Nacional;;Total;1989;408.434
Total Nacional;;Total;1988;418.919
Total Nacional;;Total;1987;426.782
Total Nacional;;Total;1986;438.750
Total Nacional;;Total;1985;456.298
Total Nacional;;Total;1984;473.281
Total Nacional;;Total;1983;485.352
Total Nacional;;Total;1982;515.706
Total Nacional;;Total;1981;533.008
Total Nacional;;Total;1980;571.018
Total Nacional;;Total;1979;601.992
Total Nacional;;Total;1978;636.892
Total Nacional;;Total;1977;656.357
Total Nacional;;Total;1976;677.456
Total Nacional;;Total;1975;669.378
Total Nacional;;Total;1974;688.711
Total Nacional;;Total;1973;672.963
Total Nacional;;Total;1972;672.405
Total Nacional;;Total;1971;672.092
Total Nacional;;Total;1970;663.667
Total Nacional;;Total;1969;666.568
Total Nacional;;Total;1968;667.311
Total Nacional;;Total;1967;680.125
Total Nacional;;Total;1966;669.919
Total Nacional;;Total;1965;676.361
Total Nacional;;Total;1964;697.697
Total Nacional;;Total;1963;671.520
Total Nacional;;Total;1962;658.816
Total Nacional;;Total;1961;654.616
Total Nacional;;Total;1960;663.375
Total Nacional;;Total;1959;654.474
Total Nacional;;Total;1958;653.216
Total Nacional;;Total;1957;646.784
