codigo comunidad,comunidad,codigo provincia,provincia,año,nacimientos,defunciones,ratio_natalidad_mortalidad
08,Castilla-La Mancha,02,Albacete,2022,2.707,3.976,0.6808350100603622
08,Castilla-La Mancha,02,Albacete,2021,2.817,3.781,0.7450409944459138
08,Castilla-La Mancha,02,Albacete,2020,2.803,4.868,0.5758011503697616
08,Castilla-La Mancha,02,Albacete,2019,2.919,3.731,0.7823639774859288
08,Castilla-La Mancha,02,Albacete,2018,3.086,3.727,0.8280118057418835
08,Castilla-La Mancha,02,Albacete,2017,3.265,3.736,0.8739293361884368
08,Castilla-La Mancha,02,Albacete,2016,3.373,3.67,0.9190735694822889
08,Castilla-La Mancha,02,Albacete,2015,3.514,3.7,0.9497297297297296
08,Castilla-La Mancha,02,Albacete,2014,3.618,3.72,0.9725806451612903
08,Castilla-La Mancha,02,Albacete,2013,3.642,3.508,1.0381984036488028
08,Castilla-La Mancha,02,Albacete,2012,3.754,3.663,1.024843024843025
08,Castilla-La Mancha,02,Albacete,2011,4.0,3.454,1.1580775911986103
08,Castilla-La Mancha,02,Albacete,2010,4.104,3.303,1.242506811989101
08,Castilla-La Mancha,02,Albacete,2009,4.202,3.424,1.2272196261682242
08,Castilla-La Mancha,02,Albacete,2008,4.14,3.413,1.2130090829182536
08,Castilla-La Mancha,02,Albacete,2007,3.702,3.364,1.1004756242568372
08,Castilla-La Mancha,02,Albacete,2006,4.028,3.253,1.2382416231171225
08,Castilla-La Mancha,02,Albacete,2005,3.787,3.344,1.132476076555024
08,Castilla-La Mancha,02,Albacete,2004,3.679,3.248,1.1326970443349753
08,Castilla-La Mancha,02,Albacete,2003,3.856,3.336,1.1558752997601918
08,Castilla-La Mancha,02,Albacete,2002,3.726,3.152,1.1821065989847714
08,Castilla-La Mancha,02,Albacete,2001,3.677,3.063,1.2004570682337576
08,Castilla-La Mancha,02,Albacete,2000,3.693,3.141,1.1757402101241643
08,Castilla-La Mancha,02,Albacete,1999,3.682,3.069,1.1997393287715867
08,Castilla-La Mancha,02,Albacete,1998,3.71,3.239,1.1454152516208707
08,Castilla-La Mancha,02,Albacete,1997,3.731,2.969,1.2566520714045133
08,Castilla-La Mancha,02,Albacete,1996,3.799,3.124,1.2160691421254801
08,Castilla-La Mancha,02,Albacete,1995,3.917,2.965,1.321079258010118
08,Castilla-La Mancha,02,Albacete,1994,3.982,3.029,1.314625288874216
08,Castilla-La Mancha,02,Albacete,1993,3.893,3.163,1.23079355042681
08,Castilla-La Mancha,02,Albacete,1992,4.178,3.048,1.3707349081364828
08,Castilla-La Mancha,02,Albacete,1991,4.175,3.039,1.3738071734123065
08,Castilla-La Mancha,02,Albacete,1990,4.431,2.666,1.662040510127532
08,Castilla-La Mancha,02,Albacete,1989,4.359,2.86,1.524125874125874
08,Castilla-La Mancha,02,Albacete,1988,4.098,2.871,1.4273772204806687
08,Castilla-La Mancha,02,Albacete,1987,4.382,2.86,1.532167832167832
08,Castilla-La Mancha,02,Albacete,1986,4.323,2.938,1.4714091218515999
08,Castilla-La Mancha,02,Albacete,1985,4.364,3.06,1.4261437908496732
08,Castilla-La Mancha,02,Albacete,1984,4.657,2.903,1.6042025490871512
08,Castilla-La Mancha,02,Albacete,1983,4.796,2.97,1.6148148148148147
08,Castilla-La Mancha,02,Albacete,1982,5.168,2.772,1.8643578643578647
08,Castilla-La Mancha,02,Albacete,1981,5.179,2.976,1.7402553763440862
08,Castilla-La Mancha,02,Albacete,1980,5.292,3.042,1.7396449704142012
08,Castilla-La Mancha,02,Albacete,1979,5.574,2.99,1.8642140468227424
08,Castilla-La Mancha,02,Albacete,1978,5.967,3.064,1.9474543080939946
08,Castilla-La Mancha,02,Albacete,1977,5.875,3.081,1.9068484258357676
08,Castilla-La Mancha,02,Albacete,1976,6.22,3.058,2.0340091563113147
08,Castilla-La Mancha,02,Albacete,1975,6.1,3.154,1.9340519974635384
08,Castilla-La Mancha,02,Albacete,1974,6.233,3.197,1.949640287769784
08,Castilla-La Mancha,02,Albacete,1973,6.288,3.172,1.9823455233291298
